CRANKANGLE,Volume Cylinder 1 (m^3)
[deg],[m^3]
-360,2.29469e-05
-359,2.29862e-05
-358,2.3104e-05
-357,2.33002e-05
-356,2.35748e-05
-355,2.39275e-05
-354,2.43583e-05
-353,2.48669e-05
-352,2.54531e-05
-351,2.61165e-05
-350,2.68568e-05
-349,2.76737e-05
-348,2.85666e-05
-347,2.95353e-05
-346,3.05791e-05
-345,3.16976e-05
-344,3.28901e-05
-343,3.41561e-05
-342,3.5495e-05
-341,3.69061e-05
-340,3.83886e-05
-339,3.99419e-05
-338,4.1565e-05
-337,4.32574e-05
-336,4.50179e-05
-335,4.68459e-05
-334,4.87404e-05
-333,5.07004e-05
-332,5.2725e-05
-331,5.48131e-05
-330,5.69637e-05
-329,5.91758e-05
-328,6.14483e-05
-327,6.37799e-05
-326,6.61697e-05
-325,6.86163e-05
-324,7.11187e-05
-323,7.36755e-05
-322,7.62856e-05
-321,7.89475e-05
-320,8.16602e-05
-319,8.44222e-05
-318,8.72321e-05
-317,9.00887e-05
-316,9.29906e-05
-315,9.59364e-05
-314,9.89246e-05
-313,0.000101954
-312,0.000105023
-311,0.00010813
-310,0.000111273
-309,0.000114452
-308,0.000117665
-307,0.00012091
-306,0.000124185
-305,0.00012749
-304,0.000130822
-303,0.000134181
-302,0.000137564
-301,0.000140971
-300,0.000144399
-299,0.000147847
-298,0.000151314
-297,0.000154798
-296,0.000158297
-295,0.000161811
-294,0.000165337
-293,0.000168874
-292,0.00017242
-291,0.000175975
-290,0.000179536
-289,0.000183102
-288,0.000186672
-287,0.000190245
-286,0.000193818
-285,0.000197391
-284,0.000200961
-283,0.000204529
-282,0.000208092
-281,0.000211649
-280,0.000215198
-279,0.000218739
-278,0.00022227
-277,0.000225791
-276,0.000229298
-275,0.000232793
-274,0.000236272
-273,0.000239736
-272,0.000243183
-271,0.000246612
-270,0.000250022
-269,0.000253411
-268,0.00025678
-267,0.000260126
-266,0.000263449
-265,0.000266748
-264,0.000270022
-263,0.00027327
-262,0.000276492
-261,0.000279686
-260,0.000282851
-259,0.000285987
-258,0.000289094
-257,0.00029217
-256,0.000295215
-255,0.000298227
-254,0.000301208
-253,0.000304155
-252,0.000307068
-251,0.000309947
-250,0.000312791
-249,0.0003156
-248,0.000318373
-247,0.000321109
-246,0.000323809
-245,0.000326472
-244,0.000329097
-243,0.000331685
-242,0.000334234
-241,0.000336744
-240,0.000339216
-239,0.000341649
-238,0.000344042
-237,0.000346396
-236,0.00034871
-235,0.000350984
-234,0.000353217
-233,0.00035541
-232,0.000357563
-231,0.000359675
-230,0.000361746
-229,0.000363776
-228,0.000365764
-227,0.000367712
-226,0.000369619
-225,0.000371484
-224,0.000373308
-223,0.000375091
-222,0.000376832
-221,0.000378532
-220,0.00038019
-219,0.000381807
-218,0.000383382
-217,0.000384916
-216,0.000386408
-215,0.000387859
-214,0.000389268
-213,0.000390636
-212,0.000391963
-211,0.000393248
-210,0.000394492
-209,0.000395695
-208,0.000396857
-207,0.000397977
-206,0.000399056
-205,0.000400095
-204,0.000401092
-203,0.000402048
-202,0.000402963
-201,0.000403837
-200,0.000404671
-199,0.000405464
-198,0.000406216
-197,0.000406927
-196,0.000407598
-195,0.000408228
-194,0.000408818
-193,0.000409367
-192,0.000409875
-191,0.000410343
-190,0.000410771
-189,0.000411159
-188,0.000411506
-187,0.000411812
-186,0.000412079
-185,0.000412305
-184,0.000412491
-183,0.000412637
-182,0.000412742
-181,0.000412807
-180,0.000412832
-179,0.000412817
-178,0.000412761
-177,0.000412666
-176,0.00041253
-175,0.000412353
-174,0.000412137
-173,0.00041188
-172,0.000411583
-171,0.000411245
-170,0.000410867
-169,0.000410449
-168,0.00040999
-167,0.000409491
-166,0.000408951
-165,0.000408371
-164,0.00040775
-163,0.000407088
-162,0.000406386
-161,0.000405642
-160,0.000404858
-159,0.000404034
-158,0.000403168
-157,0.000402261
-156,0.000401313
-155,0.000400324
-154,0.000399294
-153,0.000398223
-152,0.00039711
-151,0.000395956
-150,0.000394761
-149,0.000393524
-148,0.000392246
-147,0.000390927
-146,0.000389565
-145,0.000388163
-144,0.000386718
-143,0.000385232
-142,0.000383705
-141,0.000382136
-140,0.000380525
-139,0.000378872
-138,0.000377178
-137,0.000375442
-136,0.000373665
-135,0.000371845
-134,0.000369985
-133,0.000368083
-132,0.000366139
-131,0.000364154
-130,0.000362128
-129,0.00036006
-128,0.000357952
-127,0.000355802
-126,0.000353612
-125,0.000351381
-124,0.00034911
-123,0.000346798
-122,0.000344446
-121,0.000342055
-120,0.000339623
-119,0.000337153
-118,0.000334643
-117,0.000332095
-116,0.000329508
-115,0.000326883
-114,0.00032422
-113,0.000321519
-112,0.000318782
-111,0.000316009
-110,0.000313199
-109,0.000310354
-108,0.000307473
-107,0.000304558
-106,0.000301609
-105,0.000298627
-104,0.000295612
-103,0.000292564
-102,0.000289486
-101,0.000286376
-100,0.000283236
-99,0.000280067
-98,0.00027687
-97,0.000273645
-96,0.000270392
-95,0.000267114
-94,0.000263811
-93,0.000260483
-92,0.000257132
-91,0.000253759
-90,0.000250364
-89,0.000246949
-88,0.000243515
-87,0.000240063
-86,0.000236593
-85,0.000233108
-84,0.000229608
-83,0.000226094
-82,0.000222568
-81,0.00021903
-80,0.000215483
-79,0.000211927
-78,0.000208364
-77,0.000204795
-76,0.000201221
-75,0.000197644
-74,0.000194065
-73,0.000190485
-72,0.000186906
-71,0.000183329
-70,0.000179756
-69,0.000176189
-68,0.000172627
-67,0.000169074
-66,0.000165531
-65,0.000161998
-64,0.000158479
-63,0.000154973
-62,0.000151483
-61,0.00014801
-60,0.000144555
-59,0.000141121
-58,0.000137709
-57,0.000134319
-56,0.000130955
-55,0.000127617
-54,0.000124306
-53,0.000121025
-52,0.000117775
-51,0.000114557
-50,0.000111373
-49,0.000108224
-48,0.000105112
-47,0.000102039
-46,9.90047e-05
-45,9.6012e-05
-44,9.30619e-05
-43,9.01557e-05
-42,8.7295e-05
-41,8.4481e-05
-40,8.17152e-05
-39,7.89989e-05
-38,7.63334e-05
-37,7.37199e-05
-36,7.11598e-05
-35,6.86544e-05
-34,6.62047e-05
-33,6.38122e-05
-32,6.14778e-05
-31,5.92028e-05
-30,5.69883e-05
-29,5.48354e-05
-28,5.27451e-05
-27,5.07186e-05
-26,4.87567e-05
-25,4.68605e-05
-24,4.50309e-05
-23,4.32688e-05
-22,4.15751e-05
-21,3.99506e-05
-20,3.83962e-05
-19,3.69126e-05
-18,3.55006e-05
-17,3.41608e-05
-16,3.2894e-05
-15,3.17008e-05
-14,3.05817e-05
-13,2.95374e-05
-12,2.85683e-05
-11,2.76749e-05
-10,2.68578e-05
-9,2.61172e-05
-8,2.54536e-05
-7,2.48673e-05
-6,2.43585e-05
-5,2.39277e-05
-4,2.35748e-05
-3,2.33002e-05
-2,2.3104e-05
-1,2.29862e-05
0,2.29469e-05
1,2.29862e-05
2,2.3104e-05
3,2.33002e-05
4,2.35748e-05
5,2.39275e-05
6,2.43583e-05
7,2.48669e-05
8,2.54531e-05
9,2.61165e-05
10,2.68568e-05
11,2.76737e-05
12,2.85666e-05
13,2.95353e-05
14,3.05791e-05
15,3.16976e-05
16,3.28901e-05
17,3.41561e-05
18,3.5495e-05
19,3.69061e-05
20,3.83886e-05
21,3.99419e-05
22,4.1565e-05
23,4.32574e-05
24,4.50179e-05
25,4.68459e-05
26,4.87404e-05
27,5.07004e-05
28,5.2725e-05
29,5.48131e-05
30,5.69637e-05
31,5.91758e-05
32,6.14483e-05
33,6.37799e-05
34,6.61697e-05
35,6.86163e-05
36,7.11187e-05
37,7.36755e-05
38,7.62856e-05
39,7.89475e-05
40,8.16602e-05
41,8.44222e-05
42,8.72321e-05
43,9.00887e-05
44,9.29906e-05
45,9.59364e-05
46,9.89246e-05
47,0.000101954
48,0.000105023
49,0.00010813
50,0.000111273
51,0.000114452
52,0.000117665
53,0.00012091
54,0.000124185
55,0.00012749
56,0.000130822
57,0.000134181
58,0.000137564
59,0.000140971
60,0.000144399
61,0.000147847
62,0.000151314
63,0.000154798
64,0.000158297
65,0.000161811
66,0.000165337
67,0.000168874
68,0.00017242
69,0.000175975
70,0.000179536
71,0.000183102
72,0.000186672
73,0.000190245
74,0.000193818
75,0.000197391
76,0.000200961
77,0.000204529
78,0.000208092
79,0.000211649
80,0.000215198
81,0.000218739
82,0.00022227
83,0.000225791
84,0.000229298
85,0.000232793
86,0.000236272
87,0.000239736
88,0.000243183
89,0.000246612
90,0.000250022
91,0.000253411
92,0.00025678
93,0.000260126
94,0.000263449
95,0.000266748
96,0.000270022
97,0.00027327
98,0.000276492
99,0.000279686
100,0.000282851
101,0.000285987
102,0.000289094
103,0.00029217
104,0.000295215
105,0.000298227
106,0.000301208
107,0.000304155
108,0.000307068
109,0.000309947
110,0.000312791
111,0.0003156
112,0.000318373
113,0.000321109
114,0.000323809
115,0.000326472
116,0.000329097
117,0.000331685
118,0.000334234
119,0.000336744
120,0.000339216
121,0.000341649
122,0.000344042
123,0.000346396
124,0.00034871
125,0.000350984
126,0.000353217
127,0.00035541
128,0.000357563
129,0.000359675
130,0.000361746
131,0.000363776
132,0.000365764
133,0.000367712
134,0.000369619
135,0.000371484
136,0.000373308
137,0.000375091
138,0.000376832
139,0.000378532
140,0.00038019
141,0.000381807
142,0.000383382
143,0.000384916
144,0.000386408
145,0.000387859
146,0.000389268
147,0.000390636
148,0.000391963
149,0.000393248
150,0.000394492
151,0.000395695
152,0.000396857
153,0.000397977
154,0.000399056
155,0.000400095
156,0.000401092
157,0.000402048
158,0.000402963
159,0.000403837
160,0.000404671
161,0.000405464
162,0.000406216
163,0.000406927
164,0.000407598
165,0.000408228
166,0.000408818
167,0.000409367
168,0.000409875
169,0.000410343
170,0.000410771
171,0.000411159
172,0.000411506
173,0.000411812
174,0.000412079
175,0.000412305
176,0.000412491
177,0.000412637
178,0.000412742
179,0.000412807
180,0.000412832
181,0.000412817
182,0.000412761
183,0.000412666
184,0.00041253
185,0.000412353
186,0.000412137
187,0.00041188
188,0.000411583
189,0.000411245
190,0.000410867
191,0.000410449
192,0.00040999
193,0.000409491
194,0.000408951
195,0.000408371
196,0.00040775
197,0.000407088
198,0.000406386
199,0.000405642
200,0.000404858
201,0.000404034
202,0.000403168
203,0.000402261
204,0.000401313
205,0.000400324
206,0.000399294
207,0.000398223
208,0.00039711
209,0.000395956
210,0.000394761
211,0.000393524
212,0.000392246
213,0.000390927
214,0.000389565
215,0.000388163
216,0.000386718
217,0.000385232
218,0.000383705
219,0.000382136
220,0.000380525
221,0.000378872
222,0.000377178
223,0.000375442
224,0.000373665
225,0.000371845
226,0.000369985
227,0.000368083
228,0.000366139
229,0.000364154
230,0.000362128
231,0.00036006
232,0.000357952
233,0.000355802
234,0.000353612
235,0.000351381
236,0.00034911
237,0.000346798
238,0.000344446
239,0.000342055
240,0.000339623
241,0.000337153
242,0.000334643
243,0.000332095
244,0.000329508
245,0.000326883
246,0.00032422
247,0.000321519
248,0.000318782
249,0.000316009
250,0.000313199
251,0.000310354
252,0.000307473
253,0.000304558
254,0.000301609
255,0.000298627
256,0.000295612
257,0.000292564
258,0.000289486
259,0.000286376
260,0.000283236
261,0.000280067
262,0.00027687
263,0.000273645
264,0.000270392
265,0.000267114
266,0.000263811
267,0.000260483
268,0.000257132
269,0.000253759
270,0.000250364
271,0.000246949
272,0.000243515
273,0.000240063
274,0.000236593
275,0.000233108
276,0.000229608
277,0.000226094
278,0.000222568
279,0.00021903
280,0.000215483
281,0.000211927
282,0.000208364
283,0.000204795
284,0.000201221
285,0.000197644
286,0.000194065
287,0.000190485
288,0.000186906
289,0.000183329
290,0.000179756
291,0.000176189
292,0.000172627
293,0.000169074
294,0.000165531
295,0.000161998
296,0.000158479
297,0.000154973
298,0.000151483
299,0.00014801
300,0.000144555
301,0.000141121
302,0.000137709
303,0.000134319
304,0.000130955
305,0.000127617
306,0.000124306
307,0.000121025
308,0.000117775
309,0.000114557
310,0.000111373
311,0.000108224
312,0.000105112
313,0.000102039
314,9.90047e-05
315,9.6012e-05
316,9.30619e-05
317,9.01557e-05
318,8.7295e-05
319,8.4481e-05
320,8.17152e-05
321,7.89989e-05
322,7.63334e-05
323,7.37199e-05
324,7.11598e-05
325,6.86544e-05
326,6.62047e-05
327,6.38122e-05
328,6.14778e-05
329,5.92028e-05
330,5.69883e-05
331,5.48354e-05
332,5.27451e-05
333,5.07186e-05
334,4.87567e-05
335,4.68605e-05
336,4.50309e-05
337,4.32688e-05
338,4.15751e-05
339,3.99506e-05
340,3.83962e-05
341,3.69126e-05
342,3.55006e-05
343,3.41608e-05
344,3.2894e-05
345,3.17008e-05
346,3.05817e-05
347,2.95374e-05
348,2.85683e-05
349,2.76749e-05
350,2.68578e-05
351,2.61172e-05
352,2.54536e-05
353,2.48673e-05
354,2.43585e-05
355,2.39277e-05
356,2.35748e-05
357,2.33002e-05
358,2.3104e-05
359,2.29862e-05
360,2.29469e-05
